Instruction dimension field analysis
generated_at_utc=2026-03-01T10:49:09+00:00
chunk_index=0
entry_count=6
  dim=1024 size=2608 reloc=2 path=traces/dense-template-1024x1024-20260222T062017Z/extract/package_000/serialized_executable_001.bin
  dim=1536 size=2096 reloc=2 path=/tmp/dense-1536/extract/package_000/serialized_executable_001.bin
  dim=1792 size=2352 reloc=2 path=/tmp/dense-1792/extract/package_000/serialized_executable_001.bin
  dim=2048 size=2608 reloc=2 path=traces/dense-template-2048x2048-20260222T062027Z/extract/package_000/serialized_executable_001.bin
  dim=2304 size=2096 reloc=2 path=traces/dense-template-2304x2304-20260222T062229Z/extract/package_000/serialized_executable_001.bin
  dim=2688 size=2352 reloc=2 path=traces/dense-template-2688x2688-20260222T062240Z/extract/package_000/serialized_executable_001.bin
pair_count=3
  pair=1024:2048 size=2608 changed=154 runs=121 reloc_overlap=0
  pair=1536:2304 size=2096 changed=187 runs=95 reloc_overlap=0
  pair=1792:2688 size=2352 changed=202 runs=127 reloc_overlap=0
intersection=78 union=297 intersection_reloc_overlap=0
top_offsets=40 (|corr_dim| >= 0.9)
  off=187 corr_dim=+0.990 corr_tiles=+0.990 uniq=6 mono=True vals=[1024:4, 1536:9, 1792:12, 2048:16, 2304:20, 2688:27]
  off=1756 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1692 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1628 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1564 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1500 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1436 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1372 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=1308 corr_dim=+0.970 corr_tiles=+0.970 uniq=5 mono=True vals=[1024:0, 1536:2, 1792:3, 2048:3, 2304:6, 2688:7]
  off=995 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=931 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=867 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
